Year,Month,ProvinceID,ProvinceName,Tmax,Tmin
2018,5,41,อุดรธานี,36.9,22.7
2018,5,42,เลย,35.3,22
2018,5,43,หนองคาย,37,22.5
2018,5,44,มหาสารคาม,37.7,22.8
2018,5,45,ร้อยเอ็ด,37,23.8
2018,5,46,กาฬสินธุ์,37,23.1
2018,5,47,สกลนคร,36.1,23.4
2018,5,48,นครพนม,36.8,22.7
2018,5,49,มุกดาหาร,36.6,23
2018,5,50,เชียงใหม่,38,15
2018,5,51,ลำพูน,38,22
2018,5,52,ลำปาง,38.6,21.4
2018,5,53,อุตรดิตถ์,38.6,22.6
2018,5,54,แพร่,36.8,22.2
2018,5,55,น่าน,37.8,19.2
2018,5,56,พะเยา,36.4,21
2018,5,57,เชียงราย,36.1,20.9
2018,5,58,แม่ฮ่องสอน,39.2,19.3
2018,5,60,นครสวรรค์,38.3,23.7
2018,5,62,กำแพงเพชร,38.1,22.9
2018,5,63,ตาก,40,18.8
2018,5,64,สุโขทัย,37.5,23
2018,5,65,พิษณุโลก,37.7,23
2018,5,66,พิจิตร,37.3,23.5
2018,5,67,เพชรบูรณ์,38,22
2018,5,70,ราชบุรี,36.6,24.2
2018,5,71,กาญจนบุรี,38.2,22.4
2018,5,72,สุพรรณบุรี,37.6,23.5
2018,5,73,นครปฐม,37,23.3
2018,5,76,เพชรบุรี,36.8,24.3
2018,5,77,ประจวบคีรีขันธ์,37,22.5
2018,5,80,นครศรีธรรมราช,36.5,22.5
2018,5,81,กระบี่,36,23
2018,5,82,พังงา,33.5,23.2
2018,5,83,ภูเก็ต,35.3,20
2018,5,84,สุราษฎร์ธานี,36.5,22.2
2018,5,85,ระนอง,35,24
2018,5,86,ชุมพร,35.8,22.7
2018,5,90,สงขลา,36,22.5
2018,5,91,สตูล,35.6,22.7
2018,5,92,ตรัง,35.6,23.5
2018,5,93,พัทลุง,35,23.9
2018,5,94,ปัตตานี,35.3,22.7
2018,5,95,ยะลา,35.6,22.4
2018,5,96,นราธิวาส,34.2,21
2018,6,10,กรุงเทพมหานคร,37.3,24.2
2018,6,11,สมุทรปราการ,33.1,25
2018,6,13,ปทุมธานี,38.2,24.4
2018,6,14,พระนครศรีอยุธยา,36.5,22
2018,6,16,ลพบุรี,36.4,24.3
2018,6,18,ชัยนาท,36,24
2018,6,20,ชลบุรี,36.8,21
2018,6,21,ระยอง,35.1,24.2
2018,6,22,จันทบุรี,35.4,21.8
2018,6,23,ตราด,33.5,22.5
2018,6,24,ฉะเชิงเทรา,34.3,23.4
